slug,publicacao,titulo,url,acessado_em,dominio_publico,notas
dailymed-86841382,FDA DailyMed,Claritromicina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d836ae7e-fdbf-4dcb-a90d-ede1dcbc3e67 ; rótulo aprovado Atorvastatina (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=86841382-4229-4e03-958e-3ac22639efd4,,true,
dailymed-91e24d17,FDA DailyMed,Sertralina (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=91e24d17-ff0a-449c-9472-b9df74c98456,,true,
dailymed-92603fa5,FDA DailyMed,Efavirenz (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=92603fa5-7a2c-4bfb-9a70-aadb4fba952c,,true,
dailymed-93252cc8,FDA DailyMed,Isoniazida (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=93252cc8-c8d4-401b-bde5-ca8a3b57651e,,true,
dailymed-9efed4c4,FDA DailyMed,Ceftriaxona (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9efed4c4-72a7-4669-88ae-c80e882c1b37,,true,
dailymed-9f3d91cd,FDA DailyMed,Claritromicina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d836ae7e-fdbf-4dcb-a90d-ede1dcbc3e67 ; rótulo aprovado Carbamazepina (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9f3d91cd-a959-4e07-a51b-8a4e9ba9ece2,,true,
dailymed-a33f7657,FDA DailyMed,Fenitoína: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ef4e97a7-cd18-47a9-a016-2eca5481a87e ; rótulo aprovado Valproato (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a33f7657-ad0f-43e9-ba48-024746e6d08e,,true,
dailymed-a43a5373,FDA DailyMed,Captopril (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a43a5373-ded9-4912-8c98-edaec8352836,,true,
dailymed-a4d555fa,FDA DailyMed,Itraconazol (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a4d555fa-787c-40fb-bb7d-b0d4f7318fd0,,true,
dailymed-abd1f64e,FDA DailyMed,Estreptomicina (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=abd1f64e-4283-4370-aae8-3666316aa36e,,true,
dailymed-b01aaa02,FDA DailyMed,Gentamicina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=441b6232-bb60-40ad-85ec-7c41ba43fd5f ; rótulo aprovado Vancomicina (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b01aaa02-8f1d-4b57-96a5-337503428af1,,true,
dailymed-b0931350,FDA DailyMed,Estreptomicina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=abd1f64e-4283-4370-aae8-3666316aa36e ; rótulo aprovado Diclofenac (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b0931350-28a9-4f00-9254-1d72e31f04c3,,true,
dailymed-b31372f7,FDA DailyMed,Enalapril (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b31372f7-cda3-4ead-a481-4cde62e843fd,,true,
dailymed-b389b1a3,FDA DailyMed,Rifampicina (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b389b1a3-672f-47e3-916c-4a9c044b211b,,true,
dailymed-b6c5b5c0,FDA DailyMed,Alopurinol (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b6c5b5c0-b1cb-44c0-a849-5d317e6fa300,,true,
dailymed-bf001b70,FDA DailyMed,Isoniazida: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=93252cc8-c8d4-401b-bde5-ca8a3b57651e ; rótulo aprovado Paracetamol (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bf001b70-6164-1ec9-e053-2a95a90a1274,,true,
dailymed-c2026b67,FDA DailyMed,Rifabutina (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c2026b67-4755-4236-96b6-a6b5e7399707,,true,
dailymed-c4751a4f,FDA DailyMed,Tobramicina (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c4751a4f-c9c1-60c5-e053-2995a90aeba9,,true,
dailymed-c72f0736,FDA DailyMed,Antiácidos (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c72f0736-ee20-45b4-baf0-b80f1e3fa9cb,,true,
dailymed-c9928956,FDA DailyMed,Clopidogrel (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c9928956-bb7b-4ec2-bc38-d3c9c4199cae,,true,
dailymed-cf95b2ca,FDA DailyMed,Antiácidos: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c72f0736-ee20-45b4-baf0-b80f1e3fa9cb ; rótulo aprovado Doxiciclina (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cf95b2ca-2cf8-49a8-8e3a-f9b0f5b2072c,,true,
dailymed-d5784eeb,FDA DailyMed,Metronidazol (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d5784eeb-6b99-4e8a-847b-b0d1090ed48a,,true,
dailymed-d836ae7e,FDA DailyMed,Claritromicina (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d836ae7e-fdbf-4dcb-a90d-ede1dcbc3e67,,true,
dailymed-db52b91e,FDA DailyMed,Azitromicina (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=db52b91e-79f7-4cc1-9564-f2eee8e31c45,,true,
dailymed-ddd2278b,FDA DailyMed,Ibuprofeno: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=14515409-736f-4119-b6a0-cb19ee2e948e ; rótulo aprovado Diclofenac (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ddd2278b-70be-41ca-8a84-e3fe0f1a1561,,true,
dailymed-df4f55f0,FDA DailyMed,Losartano (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=df4f55f0-fb11-4f6f-a7ed-127b50f955fc,,true,
dailymed-e2eed126,FDA DailyMed,Haloperidol (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2eed126-cb82-42b1-9b48-9cbeb6873b50,,true,
dailymed-ef4e97a7,FDA DailyMed,Fenitoína (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ef4e97a7-cd18-47a9-a016-2eca5481a87e,,true,
dailymed-f162e616,FDA DailyMed,Cetoconazol (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f162e616-21b4-49b1-b437-15e21001a6f0,,true,
dailymed-f260ff2a,FDA DailyMed,Amicacina (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f260ff2a-76a0-4672-9516-91c344b67890,,true,
